"","survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1",1,1,"female",35,0,0,512.3292,"C","First","woman","False","","Cherbourg","yes","True"
"2",1,1,"male",36,0,1,512.3292,"C","First","man","True","B","Cherbourg","yes","False"
"3",1,1,"male",35,0,0,512.3292,"C","First","man","True","B","Cherbourg","yes","True"
"4",0,1,"male",19,3,2,263,"S","First","man","True","C","Southampton","no","False"
"5",1,1,"female",23,3,2,263,"S","First","woman","False","C","Southampton","yes","False"
"6",1,1,"female",24,3,2,263,"S","First","woman","False","C","Southampton","yes","False"
"7",0,1,"male",64,1,4,263,"S","First","man","True","C","Southampton","no","False"
"8",1,1,"female",18,2,2,262.375,"C","First","woman","False","B","Cherbourg","yes","False"
"9",1,1,"female",21,2,2,262.375,"C","First","woman","False","B","Cherbourg","yes","False"
"10",0,1,"male",24,0,1,247.5208,"C","First","man","True","B","Cherbourg","no","False"
"11",1,1,"female",50,0,1,247.5208,"C","First","woman","False","B","Cherbourg","yes","False"
"12",1,1,"female",42,0,0,227.525,"C","First","woman","False","","Cherbourg","yes","True"
"13",0,1,"male",NA,0,0,227.525,"C","First","man","True","","Cherbourg","no","True"
"14",1,1,"female",18,1,0,227.525,"C","First","woman","False","C","Cherbourg","yes","False"
"15",1,1,"female",38,0,0,227.525,"C","First","woman","False","C","Cherbourg","yes","True"
"16",0,1,"male",NA,0,0,221.7792,"S","First","man","True","C","Southampton","no","True"
"17",0,1,"male",27,0,2,211.5,"C","First","man","True","C","Cherbourg","no","False"
"18",1,1,"female",15,0,1,211.3375,"S","First","child","False","B","Southampton","yes","False"
"19",1,1,"female",29,0,0,211.3375,"S","First","woman","False","B","Southampton","yes","True"
"20",1,1,"female",43,0,1,211.3375,"S","First","woman","False","B","Southampton","yes","False"
"21",1,1,"female",31,0,2,164.8667,"S","First","woman","False","C","Southampton","yes","False"
"22",1,1,"female",45,1,1,164.8667,"S","First","woman","False","","Southampton","yes","False"
"23",1,1,"female",58,0,1,153.4625,"S","First","woman","False","C","Southampton","yes","False"
"24",0,1,"male",38,0,1,153.4625,"S","First","man","True","C","Southampton","no","False"
"25",1,1,"female",40,0,0,153.4625,"S","First","woman","False","C","Southampton","yes","True"
"26",0,1,"female",2,1,2,151.55,"S","First","child","False","C","Southampton","no","False"
"27",1,1,"male",0.92,1,2,151.55,"S","First","child","False","C","Southampton","yes","False"
"28",0,1,"female",25,1,2,151.55,"S","First","woman","False","C","Southampton","no","False"
"29",1,1,"female",22,0,0,151.55,"S","First","woman","False","","Southampton","yes","True"
"30",1,1,"female",NA,1,0,146.5208,"C","First","woman","False","B","Cherbourg","yes","False"
"31",1,1,"female",58,0,0,146.5208,"C","First","woman","False","B","Cherbourg","yes","True"
"32",1,1,"female",35,0,0,135.6333,"S","First","woman","False","C","Southampton","yes","True"
"33",1,1,"female",36,0,0,135.6333,"C","First","woman","False","C","Cherbourg","yes","True"
"34",0,1,"male",22,0,0,135.6333,"C","First","man","True","","Cherbourg","no","True"
"35",1,1,"female",40,1,1,134.5,"C","First","woman","False","E","Cherbourg","yes","False"
"36",1,1,"female",41,0,0,134.5,"C","First","woman","False","E","Cherbourg","yes","True"
"37",1,1,"female",NA,1,0,133.65,"S","First","woman","False","","Southampton","yes","False"
"38",1,1,"male",50,2,0,133.65,"S","First","man","True","","Southampton","yes","False"
"39",1,1,"male",36,1,2,120,"S","First","man","True","B","Southampton","yes","False"
"40",1,1,"female",14,1,2,120,"S","First","child","False","B","Southampton","yes","False"
"41",1,1,"female",36,1,2,120,"S","First","woman","False","B","Southampton","yes","False"
"42",1,1,"male",11,1,2,120,"S","First","child","False","B","Southampton","yes","False"
"43",1,1,"female",31,1,0,113.275,"C","First","woman","False","D","Cherbourg","yes","False"
"44",1,1,"female",23,1,0,113.275,"C","First","woman","False","D","Cherbourg","yes","False"
"45",0,1,"male",58,0,2,113.275,"C","First","man","True","D","Cherbourg","no","False"
"46",1,1,"female",NA,0,0,110.8833,"C","First","woman","False","","Cherbourg","yes","True"
"47",1,1,"male",17,0,2,110.8833,"C","First","man","True","C","Cherbourg","yes","False"
"48",1,1,"female",39,1,1,110.8833,"C","First","woman","False","C","Cherbourg","yes","False"
"49",0,1,"male",49,1,1,110.8833,"C","First","man","True","C","Cherbourg","no","False"
"50",1,1,"female",17,1,0,108.9,"C","First","woman","False","C","Cherbourg","yes","False"
"51",0,1,"male",18,1,0,108.9,"C","First","man","True","C","Cherbourg","no","False"
"52",1,1,"female",30,0,0,106.425,"C","First","woman","False","","Cherbourg","yes","True"
"53",0,1,"male",50,1,0,106.425,"C","First","man","True","C","Cherbourg","no","False"
"54",1,1,"female",30,0,0,93.5,"S","First","woman","False","B","Southampton","yes","True"
"55",1,1,"female",52,1,1,93.5,"S","First","woman","False","B","Southampton","yes","False"
"56",1,1,"female",19,1,0,91.0792,"C","First","woman","False","B","Cherbourg","yes","False"
"57",1,1,"male",25,1,0,91.0792,"C","First","man","True","B","Cherbourg","yes","False"
"58",1,1,"male",38,1,0,90,"S","First","man","True","C","Southampton","yes","False"
"59",0,1,"male",44,2,0,90,"Q","First","man","True","C","Queenstown","no","False"
"60",1,1,"female",33,1,0,90,"Q","First","woman","False","C","Queenstown","yes","False"
"61",1,1,"female",35,1,0,90,"S","First","woman","False","C","Southampton","yes","False"
"62",1,1,"male",49,1,0,89.1042,"C","First","man","True","C","Cherbourg","yes","False"
"63",1,1,"female",NA,1,0,89.1042,"C","First","woman","False","C","Cherbourg","yes","False"
"64",1,1,"female",30,0,0,86.5,"S","First","woman","False","B","Southampton","yes","True"
"65",1,1,"female",16,0,0,86.5,"S","First","woman","False","B","Southampton","yes","True"
"66",1,1,"female",33,0,0,86.5,"S","First","woman","False","B","Southampton","yes","True"
"67",0,1,"male",45,1,0,83.475,"S","First","man","True","C","Southampton","no","False"
"68",1,1,"female",35,1,0,83.475,"S","First","woman","False","C","Southampton","yes","False"
"69",1,1,"female",24,0,0,83.1583,"C","First","woman","False","C","Cherbourg","yes","True"
"70",1,1,"female",39,1,1,83.1583,"C","First","woman","False","E","Cherbourg","yes","False"
"71",1,1,"female",56,0,1,83.1583,"C","First","woman","False","C","Cherbourg","yes","False"
"72",0,1,"male",28,1,0,82.1708,"C","First","man","True","","Cherbourg","no","False"
"73",1,1,"female",NA,1,0,82.1708,"C","First","woman","False","","Cherbourg","yes","False"
"74",1,1,"male",4,0,2,81.8583,"S","First","child","False","A","Southampton","yes","False"
"75",1,1,"female",38,0,0,80,"","First","woman","False","B","","yes","True"
"76",1,1,"female",62,0,0,80,"","First","woman","False","B","","yes","True"
"77",0,1,"male",52,1,1,79.65,"S","First","man","True","E","Southampton","no","False"
"78",1,1,"female",39,1,1,79.65,"S","First","woman","False","E","Southampton","yes","False"
"79",1,1,"female",18,0,2,79.65,"S","First","woman","False","E","Southampton","yes","False"
"80",0,1,"male",24,0,0,79.2,"C","First","man","True","B","Cherbourg","no","True"
"81",1,1,"female",NA,0,0,79.2,"C","First","woman","False","","Cherbourg","yes","True"
"82",1,1,"male",60,1,1,79.2,"C","First","man","True","B","Cherbourg","yes","False"
"83",0,1,"male",46,0,0,79.2,"C","First","man","True","B","Cherbourg","no","True"
"84",1,1,"female",26,0,0,78.85,"S","First","woman","False","","Southampton","yes","True"
"85",0,1,"male",36,1,0,78.85,"S","First","man","True","C","Southampton","no","False"
"86",1,1,"female",54,1,0,78.2667,"C","First","woman","False","D","Cherbourg","yes","False"
"87",1,1,"female",52,1,0,78.2667,"C","First","woman","False","D","Cherbourg","yes","False"
"88",1,1,"female",63,1,0,77.9583,"S","First","woman","False","D","Southampton","yes","False"
"89",1,1,"female",21,0,0,77.9583,"S","First","woman","False","D","Southampton","yes","True"
"90",1,1,"female",51,1,0,77.9583,"S","First","woman","False","D","Southampton","yes","False"
"91",0,1,"male",21,0,1,77.2875,"S","First","man","True","D","Southampton","no","False"
"92",0,1,"male",54,0,1,77.2875,"S","First","man","True","D","Southampton","no","False"
"93",1,1,"female",49,1,0,76.7292,"C","First","woman","False","D","Cherbourg","yes","False"
"94",1,1,"male",48,1,0,76.7292,"C","First","man","True","D","Cherbourg","yes","False"
"95",1,1,"male",27,0,0,76.7292,"C","First","man","True","D","Cherbourg","yes","True"
"96",1,1,"female",32,0,0,76.2917,"C","First","woman","False","D","Cherbourg","yes","True"
"97",1,1,"female",60,1,0,75.25,"C","First","woman","False","D","Cherbourg","yes","False"
"98",0,2,"male",21,0,0,73.5,"S","Second","man","True","","Southampton","no","True"
"99",0,2,"male",21,2,0,73.5,"S","Second","man","True","","Southampton","no","False"
"100",0,2,"male",18,0,0,73.5,"S","Second","man","True","","Southampton","no","True"
"101",0,2,"male",24,2,0,73.5,"S","Second","man","True","","Southampton","no","False"
"102",0,2,"male",32,2,0,73.5,"S","Second","man","True","","Southampton","no","False"
"103",1,1,"female",38,1,0,71.2833,"C","First","woman","False","C","Cherbourg","yes","False"
"104",1,1,"female",36,0,2,71,"S","First","woman","False","B","Southampton","yes","False"
"105",0,1,"male",70,1,1,71,"S","First","man","True","B","Southampton","no","False"
"106",0,3,"male",NA,8,2,69.55,"S","Third","man","True","","Southampton","no","False"
"107",0,3,"female",NA,8,2,69.55,"S","Third","woman","False","","Southampton","no","False"
"108",0,3,"male",NA,8,2,69.55,"S","Third","man","True","","Southampton","no","False"
"109",0,3,"male",NA,8,2,69.55,"S","Third","man","True","","Southampton","no","False"
"110",0,3,"female",NA,8,2,69.55,"S","Third","woman","False","","Southampton","no","False"
"111",0,3,"male",NA,8,2,69.55,"S","Third","man","True","","Southampton","no","False"
"112",0,3,"female",NA,8,2,69.55,"S","Third","woman","False","","Southampton","no","False"
"113",1,1,"female",24,0,0,69.3,"C","First","woman","False","B","Cherbourg","yes","True"
"114",1,1,"female",24,0,0,69.3,"C","First","woman","False","B","Cherbourg","yes","True"
"115",1,1,"female",22,1,0,66.6,"S","First","woman","False","C","Southampton","yes","False"
"116",0,1,"male",29,1,0,66.6,"S","First","man","True","C","Southampton","no","False"
"117",1,2,"female",24,1,2,65,"S","Second","woman","False","","Southampton","yes","False"
"118",1,2,"female",48,1,2,65,"S","Second","woman","False","","Southampton","yes","False"
"119",1,1,"male",23,0,1,63.3583,"C","First","man","True","D","Cherbourg","yes","False"
"120",0,1,"male",65,0,1,61.9792,"C","First","man","True","B","Cherbourg","no","False"
"121",0,1,"male",51,0,1,61.3792,"C","First","man","True","","Cherbourg","no","False"
"122",0,1,"male",46,1,0,61.175,"S","First","man","True","E","Southampton","no","False"
"123",1,1,"female",54,1,0,59.4,"C","First","woman","False","","Cherbourg","yes","False"
"124",1,1,"female",16,0,1,57.9792,"C","First","woman","False","B","Cherbourg","yes","False"
"125",1,1,"female",44,0,1,57.9792,"C","First","woman","False","B","Cherbourg","yes","False"
"126",1,1,"male",31,1,0,57,"S","First","man","True","B","Southampton","yes","False"
"127",1,1,"female",17,1,0,57,"S","First","woman","False","B","Southampton","yes","False"
"128",1,1,"female",30,0,0,56.9292,"C","First","woman","False","E","Cherbourg","yes","True"
"129",1,1,"male",49,1,0,56.9292,"C","First","man","True","A","Cherbourg","yes","False"
"130",1,3,"male",32,0,0,56.4958,"S","Third","man","True","","Southampton","yes","True"
"131",0,3,"male",28,0,0,56.4958,"S","Third","man","True","","Southampton","no","True"
"132",1,3,"male",26,0,0,56.4958,"S","Third","man","True","","Southampton","yes","True"
"133",1,3,"male",NA,0,0,56.4958,"S","Third","man","True","","Southampton","yes","True"
"134",1,3,"male",NA,0,0,56.4958,"S","Third","man","True","","Southampton","yes","True"
"135",0,3,"male",NA,0,0,56.4958,"S","Third","man","True","","Southampton","no","True"
"136",1,3,"male",32,0,0,56.4958,"S","Third","man","True","","Southampton","yes","True"
"137",0,1,"male",50,1,0,55.9,"S","First","man","True","E","Southampton","no","False"
"138",1,1,"female",39,1,0,55.9,"S","First","woman","False","E","Southampton","yes","False"
"139",1,1,"male",25,1,0,55.4417,"C","First","man","True","E","Cherbourg","yes","False"
"140",1,1,"female",NA,0,1,55,"S","First","woman","False","E","Southampton","yes","False"
"141",1,1,"female",22,0,1,55,"S","First","woman","False","E","Southampton","yes","False"
"142",1,1,"female",35,1,0,53.1,"S","First","woman","False","C","Southampton","yes","False"
"143",0,1,"male",37,1,0,53.1,"S","First","man","True","C","Southampton","no","False"
"144",1,1,"male",27,1,0,53.1,"S","First","man","True","E","Southampton","yes","False"
"145",0,1,"male",19,1,0,53.1,"S","First","man","True","D","Southampton","no","False"
"146",1,1,"female",33,1,0,53.1,"S","First","woman","False","E","Southampton","yes","False"
"147",1,1,"male",37,1,1,52.5542,"S","First","man","True","D","Southampton","yes","False"
"148",1,1,"male",42,1,0,52.5542,"S","First","man","True","D","Southampton","yes","False"
"149",1,1,"female",47,1,1,52.5542,"S","First","woman","False","D","Southampton","yes","False"
"150",0,1,"male",42,1,0,52,"S","First","man","True","","Southampton","no","False"
"151",0,1,"male",47,0,0,52,"S","First","man","True","C","Southampton","no","True"
"152",1,1,"female",35,1,0,52,"S","First","woman","False","","Southampton","yes","False"
"153",0,1,"male",NA,0,0,52,"S","First","man","True","A","Southampton","no","True"
"154",1,1,"female",NA,1,0,52,"S","First","woman","False","C","Southampton","yes","False"
"155",0,1,"male",31,1,0,52,"S","First","man","True","B","Southampton","no","False"
"156",1,1,"male",48,1,0,52,"S","First","man","True","C","Southampton","yes","False"
"157",0,1,"male",54,0,0,51.8625,"S","First","man","True","E","Southampton","no","True"
"158",1,1,"female",NA,1,0,51.8625,"S","First","woman","False","D","Southampton","yes","False"
"159",1,1,"female",53,2,0,51.4792,"S","First","woman","False","C","Southampton","yes","False"
"160",0,1,"male",31,0,0,50.4958,"S","First","man","True","A","Southampton","no","True"
"161",0,1,"male",NA,0,0,50,"S","First","man","True","A","Southampton","no","True"
"162",0,1,"male",71,0,0,49.5042,"C","First","man","True","","Cherbourg","no","True"
"163",1,1,"female",24,0,0,49.5042,"C","First","woman","False","C","Cherbourg","yes","True"
"164",1,1,"female",22,0,2,49.5,"C","First","woman","False","B","Cherbourg","yes","False"
"165",0,1,"male",28,0,0,47.1,"S","First","man","True","","Southampton","no","True"
"166",0,3,"male",11,5,2,46.9,"S","Third","child","False","","Southampton","no","False"
"167",0,3,"female",16,5,2,46.9,"S","Third","woman","False","","Southampton","no","False"
"168",0,3,"male",1,5,2,46.9,"S","Third","child","False","","Southampton","no","False"
"169",0,3,"male",9,5,2,46.9,"S","Third","child","False","","Southampton","no","False"
"170",0,3,"female",43,1,6,46.9,"S","Third","woman","False","","Southampton","no","False"
"171",0,3,"male",14,5,2,46.9,"S","Third","child","False","","Southampton","no","False"
"172",0,1,"male",NA,0,0,42.4,"S","First","man","True","","Southampton","no","True"
"173",1,2,"female",3,1,2,41.5792,"C","Second","child","False","","Cherbourg","yes","False"
"174",1,2,"female",22,1,2,41.5792,"C","Second","woman","False","","Cherbourg","yes","False"
"175",0,2,"male",25,1,2,41.5792,"C","Second","man","True","","Cherbourg","no","False"
"176",0,1,"male",36,0,0,40.125,"C","First","man","True","A","Cherbourg","no","True"
"177",0,3,"male",7,4,1,39.6875,"S","Third","child","False","","Southampton","no","False"
"178",0,3,"male",1,4,1,39.6875,"S","Third","child","False","","Southampton","no","False"
"179",0,3,"male",16,4,1,39.6875,"S","Third","man","True","","Southampton","no","False"
"180",0,3,"female",41,0,5,39.6875,"S","Third","woman","False","","Southampton","no","False"
"181",0,3,"male",14,4,1,39.6875,"S","Third","child","False","","Southampton","no","False"
"182",0,3,"male",2,4,1,39.6875,"S","Third","child","False","","Southampton","no","False"
"183",1,1,"female",48,1,0,39.6,"C","First","woman","False","A","Cherbourg","yes","False"
"184",0,1,"male",NA,0,0,39.6,"C","First","man","True","","Cherbourg","no","True"
"185",1,1,"female",16,0,1,39.4,"S","First","woman","False","D","Southampton","yes","False"
"186",1,2,"male",1,2,1,39,"S","Second","child","False","F","Southampton","yes","False"
"187",1,2,"female",4,2,1,39,"S","Second","child","False","F","Southampton","yes","False"
"188",1,2,"female",40,1,1,39,"S","Second","woman","False","","Southampton","yes","False"
"189",0,2,"male",60,1,1,39,"S","Second","man","True","","Southampton","no","False"
"190",0,1,"male",47,0,0,38.5,"S","First","man","True","E","Southampton","no","True"
"191",0,2,"male",31,1,1,37.0042,"C","Second","man","True","","Cherbourg","no","False"
"192",1,2,"male",1,0,2,37.0042,"C","Second","child","False","","Cherbourg","yes","False"
"193",0,2,"male",19,1,1,36.75,"S","Second","man","True","","Southampton","no","False"
"194",1,2,"male",8,1,1,36.75,"S","Second","child","False","","Southampton","yes","False"
"195",1,1,"male",28,0,0,35.5,"S","First","man","True","A","Southampton","yes","True"
"196",1,1,"male",NA,0,0,35.5,"S","First","man","True","C","Southampton","yes","True"
"197",0,1,"male",45,0,0,35.5,"S","First","man","True","","Southampton","no","True"
"198",1,1,"male",56,0,0,35.5,"C","First","man","True","A","Cherbourg","yes","True"
"199",0,1,"male",NA,0,0,35,"S","First","man","True","C","Southampton","no","True"
"200",0,1,"male",71,0,0,34.6542,"C","First","man","True","A","Cherbourg","no","True"
"201",0,3,"male",16,1,3,34.375,"S","Third","man","True","","Southampton","no","False"
"202",0,3,"female",9,2,2,34.375,"S","Third","child","False","","Southampton","no","False"
"203",0,3,"female",21,2,2,34.375,"S","Third","woman","False","","Southampton","no","False"
"204",0,3,"female",48,1,3,34.375,"S","Third","woman","False","","Southampton","no","False"
"205",0,1,"male",47,0,0,34.0208,"S","First","man","True","D","Southampton","no","True"
"206",0,1,"male",61,0,0,33.5,"S","First","man","True","B","Southampton","no","True"
"207",1,2,"female",NA,0,0,33,"S","Second","woman","False","","Southampton","yes","True"
"208",1,2,"female",6,0,1,33,"S","Second","child","False","","Southampton","yes","False"
"209",0,2,"male",28,0,1,33,"S","Second","man","True","","Southampton","no","False"
"210",1,2,"female",34,1,1,32.5,"S","Second","woman","False","","Southampton","yes","False"
"211",0,1,"male",61,0,0,32.3208,"S","First","man","True","D","Southampton","no","True"
"212",1,3,"female",38,1,5,31.3875,"S","Third","woman","False","","Southampton","yes","False"
"213",0,3,"male",9,4,2,31.3875,"S","Third","child","False","","Southampton","no","False"
"214",1,3,"female",5,4,2,31.3875,"S","Third","child","False","","Southampton","yes","False"
"215",1,3,"male",3,4,2,31.3875,"S","Third","child","False","","Southampton","yes","False"
"216",0,3,"male",39,1,5,31.275,"S","Third","man","True","","Southampton","no","False"
"217",0,3,"female",2,4,2,31.275,"S","Third","child","False","","Southampton","no","False"
"218",0,3,"female",9,4,2,31.275,"S","Third","child","False","","Southampton","no","False"
"219",0,3,"female",11,4,2,31.275,"S","Third","child","False","","Southampton","no","False"
"220",0,3,"female",39,1,5,31.275,"S","Third","woman","False","","Southampton","no","False"
"221",0,3,"female",6,4,2,31.275,"S","Third","child","False","","Southampton","no","False"
"222",0,3,"male",4,4,2,31.275,"S","Third","child","False","","Southampton","no","False"
"223",1,1,"male",40,0,0,31,"C","First","man","True","A","Cherbourg","yes","True"
"224",0,1,"male",NA,0,0,31,"S","First","man","True","","Southampton","no","True"
"225",1,1,"female",30,0,0,31,"C","First","woman","False","","Cherbourg","yes","True"
"226",0,1,"male",56,0,0,30.6958,"C","First","man","True","A","Cherbourg","no","True"
"227",0,1,"male",NA,0,0,30.6958,"C","First","man","True","","Cherbourg","no","True"
"228",1,1,"male",NA,0,0,30.5,"S","First","man","True","C","Southampton","yes","True"
"229",1,1,"male",52,0,0,30.5,"S","First","man","True","C","Southampton","yes","True"
"230",0,1,"male",55,0,0,30.5,"S","First","man","True","C","Southampton","no","True"
"231",1,1,"male",27,0,0,30.5,"S","First","man","True","","Southampton","yes","True"
"232",1,1,"male",32,0,0,30.5,"C","First","man","True","B","Cherbourg","yes","True"
"233",1,2,"female",14,1,0,30.0708,"C","Second","child","False","","Cherbourg","yes","False"
"234",0,2,"male",32.5,1,0,30.0708,"C","Second","man","True","","Cherbourg","no","False"
"235",1,2,"female",25,1,1,30,"S","Second","woman","False","","Southampton","yes","False"
"236",1,1,"male",80,0,0,30,"S","First","man","True","A","Southampton","yes","True"
"237",1,1,"male",NA,0,0,30,"S","First","man","True","D","Southampton","yes","True"
"238",0,1,"male",29,0,0,30,"S","First","man","True","D","Southampton","no","True"
"239",1,1,"female",19,0,0,30,"S","First","woman","False","B","Southampton","yes","True"
"240",1,1,"male",26,0,0,30,"C","First","man","True","C","Cherbourg","yes","True"
"241",0,1,"male",37,0,1,29.7,"C","First","man","True","C","Cherbourg","no","False"
"242",0,1,"male",58,0,0,29.7,"C","First","man","True","B","Cherbourg","no","True"
"243",1,1,"male",NA,0,0,29.7,"C","First","man","True","C","Cherbourg","yes","True"
"244",0,3,"male",2,4,1,29.125,"Q","Third","child","False","","Queenstown","no","False"
"245",0,3,"male",4,4,1,29.125,"Q","Third","child","False","","Queenstown","no","False"
"246",0,3,"male",7,4,1,29.125,"Q","Third","child","False","","Queenstown","no","False"
"247",0,3,"male",8,4,1,29.125,"Q","Third","child","False","","Queenstown","no","False"
"248",0,3,"female",39,0,5,29.125,"Q","Third","woman","False","","Queenstown","no","False"
"249",1,2,"male",0.83,0,2,29,"S","Second","child","False","","Southampton","yes","False"
"250",1,2,"female",22,1,1,29,"S","Second","woman","False","","Southampton","yes","False"
"251",0,1,"female",50,0,0,28.7125,"C","First","woman","False","C","Cherbourg","no","True"
"252",0,1,"male",45.5,0,0,28.5,"S","First","man","True","C","Southampton","no","True"
"253",0,3,"male",4,3,2,27.9,"S","Third","child","False","","Southampton","no","False"
"254",0,3,"female",45,1,4,27.9,"S","Third","woman","False","","Southampton","no","False"
"255",0,3,"male",40,1,4,27.9,"S","Third","man","True","","Southampton","no","False"
"256",0,3,"female",9,3,2,27.9,"S","Third","child","False","","Southampton","no","False"
"257",0,3,"female",2,3,2,27.9,"S","Third","child","False","","Southampton","no","False"
"258",0,3,"male",10,3,2,27.9,"S","Third","child","False","","Southampton","no","False"
"259",1,2,"female",5,1,2,27.75,"S","Second","child","False","","Southampton","yes","False"
"260",0,2,"male",36,1,2,27.75,"S","Second","man","True","","Southampton","no","False"
"261",0,1,"male",30,0,0,27.75,"C","First","man","True","C","Cherbourg","no","True"
"262",1,2,"female",33,1,2,27.75,"S","Second","woman","False","","Southampton","yes","False"
"263",0,1,"male",40,0,0,27.7208,"C","First","man","True","","Cherbourg","no","True"
"264",0,1,"male",NA,0,0,27.7208,"C","First","man","True","","Cherbourg","no","True"
"265",1,1,"female",44,0,0,27.7208,"C","First","woman","False","B","Cherbourg","yes","True"
"266",0,1,"male",NA,0,0,27.7208,"C","First","man","True","","Cherbourg","no","True"
"267",0,2,"male",29,1,0,27.7208,"C","Second","man","True","","Cherbourg","no","False"
"268",0,2,"male",42,1,0,27,"S","Second","man","True","","Southampton","no","False"
"269",1,2,"female",24,2,1,27,"S","Second","woman","False","","Southampton","yes","False"
"270",1,1,"female",58,0,0,26.55,"S","First","woman","False","C","Southampton","yes","True"
"271",1,1,"male",45,0,0,26.55,"S","First","man","True","","Southampton","yes","True"
"272",0,1,"male",62,0,0,26.55,"S","First","man","True","C","Southampton","no","True"
"273",1,1,"male",28,0,0,26.55,"S","First","man","True","C","Southampton","yes","True"
"274",1,1,"male",34,0,0,26.55,"S","First","man","True","","Southampton","yes","True"
"275",0,1,"male",65,0,0,26.55,"S","First","man","True","E","Southampton","no","True"
"276",1,1,"male",48,0,0,26.55,"S","First","man","True","E","Southampton","yes","True"
"277",0,1,"male",56,0,0,26.55,"S","First","man","True","","Southampton","no","True"
"278",1,1,"male",NA,0,0,26.55,"S","First","man","True","","Southampton","yes","True"
"279",0,1,"male",45,0,0,26.55,"S","First","man","True","B","Southampton","no","True"
"280",0,1,"male",62,0,0,26.55,"S","First","man","True","","Southampton","no","True"
"281",1,1,"male",35,0,0,26.55,"C","First","man","True","","Cherbourg","yes","True"
"282",0,1,"male",60,0,0,26.55,"S","First","man","True","","Southampton","no","True"
"283",0,1,"male",NA,0,0,26.55,"S","First","man","True","C","Southampton","no","True"
"284",1,1,"male",51,0,0,26.55,"S","First","man","True","E","Southampton","yes","True"
"285",1,1,"male",36,0,0,26.3875,"S","First","man","True","E","Southampton","yes","True"
"286",1,1,"male",36,0,0,26.2875,"S","First","man","True","E","Southampton","yes","True"
"287",1,1,"male",35,0,0,26.2875,"S","First","man","True","E","Southampton","yes","True"
"288",1,1,"male",42,0,0,26.2875,"S","First","man","True","E","Southampton","yes","True"
"289",1,1,"female",19,0,2,26.2833,"S","First","woman","False","D","Southampton","yes","False"
"290",1,2,"female",8,0,2,26.25,"S","Second","child","False","","Southampton","yes","False"
"291",0,2,"male",43,1,1,26.25,"S","Second","man","True","","Southampton","no","False"
"292",1,2,"female",45,1,1,26.25,"S","Second","woman","False","","Southampton","yes","False"
